CIP7;CIP13;EAN13;Laboratoire;Gamme;Libellé;TVA;Prix A HT;Remise1;Colisage;QteMin
;3400930065181;;Accord Healthcare;Non renseigné;Tadalafil 20mg Bte de 12 cp Accord;0.1;90;0.93;192;1
2180236;3400921802368;;Accord Healthcare;Non renseigné;Sildénafil 25mg Bte de 8 cp Accord;0.1;40;0.93;351;1
2180265;3400921802658;;Accord Healthcare;Non renseigné;Sildénafil 50mg Bte de 4 cp Accord;0.1;20;0.93;120;1
2180271;3400921802719;;Accord Healthcare;Non renseigné;Sildénafil 50mg Bte de 8 cp Accord;0.1;40;0.93;120;1
2180288;3400921802887;;Accord Healthcare;Non renseigné;Sildénafil 50mg Bte de 12 cp Accord;0.1;60;0.93;160;1
2180302;3400921803020;;Accord Healthcare;Non renseigné;Sildénafil 100mg Bte de 4 cp Accord;0.1;20;0.93;120;1
2180319;3400921803198;;Accord Healthcare;Non renseigné;Sildénafil 100mg Bte de 8 cp Accord;0.1;40;0.93;120;1
2180325;3400921803259;;Accord Healthcare;Non renseigné;Sildénafil 100mg Bte de 12 cp Accord;0.1;60;0.93;160;1
;;3701335900115;Adisphar;Calindoo;CALINDOO Chaufferette 1 clic réutilisable;0.2;1.9;0.22;128;1
;;3701335900368;Adisphar;Calindoo;Bouillotte Classique 2L et sa housse tricot R;0.2;11;0.22;12;1
;;3701335900382;Adisphar;Calindoo;Bouillotte Classique 2L et sa housse douceur;0.2;11;0.22;12;1
;;3701335900771;Adisphar;Calindoo;CALINDOO Poche ice bag orange 22cm;0.2;5.29;0.22;1;1
;;3701335900849;Adisphar;Calindoo;CALINDOO Eau brumisateur rechargeable présentoir 12u unis 200ml;0.2;71.88;0.22;1;1
;;3701335901013;Adisphar;Calindoo;CALINDOO Bouill tour cou av houss gris 800ml;0.2;11;0.22;12;1
;;3701335901068;Adisphar;Calindoo;CALINDOO Eau brumisateur rechargeable présentoir 12u motif 200ml;0.2;71.88;0.22;1;1
;;3701335901112;Adisphar;Non renseigné;Présentoir 12u x Brumisateurs New Kids;0.2;71.88;0.22;1;1
;;9990000010483;Adisphar;Pelucho;PELUCHO Bouillotte peluche Chien 0A40775;0.2;15.9;0.28;1;1
;;9990000010484;Adisphar;Pelucho;PELUCHO Bouillotte peluche Dragon 0A70785;0.2;15.9;0.28;20;1
;;9990000010485;Adisphar;Pelucho;PELUCHO Bouillotte peluche Elephant 0A40898;0.2;15.9;0.28;20;1
;;9990000010488;Adisphar;Pelucho;PELUCHO Bouillotte peluche Husky 0A40756;0.2;15.9;0.28;1;1
;;9990000010490;Adisphar;Pelucho;PELUCHO Bouillotte peluche Licorne Blanche 0A;0.2;15.9;0.28;1;1
;;9990000010491;Adisphar;Pelucho;PELUCHO Bouillotte peluche Licorne Rose 0A534;0.2;15.9;0.28;1;1
;;9990000010492;Adisphar;Pelucho;PELUCHO Bouillotte peluche Ours Blanc 0A40830;0.2;15.9;0.28;1;1
